name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
TEAMGROUP T-Force Vulcan Z 8 GB,,"4,3000","2,4",,Red / Black,10.667,16.0,DDR4,3000,2,4,8
Crucial Ballistix 32 GB,,"4,2666","2,16",,Black,12.003,16.0,DDR4,2666,2,16,32
Crucial Ballistix 32 GB,,"4,3600","2,16",,Red,8.889,16.0,DDR4,3600,2,16,32
TEAMGROUP T-Force Vulcan TUF Gaming Alliance 32 GB,,"4,3200","2,16",,Black / Gold,10.0,16.0,DDR4,3200,2,16,32
ADATA XPG GAMMIX D30 16 GB,,"4,3200","2,8",,Unknown,10.0,16.0,DDR4,3200,2,8,16
ADATA XPG GAMMIX D20 64 GB,,"4,3200","2,32",,Black,10.0,16.0,DDR4,3200,2,32,64
Neo Forza MARS 16 GB,,"4,3200","2,8",,Gray / Black,10.0,16.0,DDR4,3200,2,8,16
Patriot Viper 4 Blackout 32 GB,,"4,3600","2,16",,Black,10.0,18.0,DDR4,3600,2,16,32
Klevv BOLT X 8 GB,,"4,3600","1,8",,Black,10.0,18.0,DDR4,3600,1,8,8
TEAMGROUP T-Force Vulcan 32 GB,,"5,5200","2,16",,Black / Silver,14.615,38.0,DDR5,5200,2,16,32
G.Skill Trident Z Royal Elite 32 GB,,"4,3600","2,16",,Silver,8.889,16.0,DDR4,3600,2,16,32
Corsair Dominator Platinum RGB 32 GB,,"4,3600","2,16",,Black,7.778,14.0,DDR4,3600,2,16,32
HP V10 RGB 32 GB,,"4,3200","2,16",,Silver / Black,8.75,14.0,DDR4,3200,2,16,32
TEAMGROUP Dark Pro 8PACK Edition 16 GB,,"4,3600","2,8",,Black / Silver,8.889,16.0,DDR4,3600,2,8,16
G.Skill Ripjaws V 16 GB,,"4,4600","2,8",,Black,8.261,19.0,DDR4,4600,2,8,16
G.Skill TridentZ RGB 32 GB,,"4,4400","2,16",,Black,7.727,17.0,DDR4,4400,2,16,32
ADATA XPG LANCER RGB 32 GB,,"5,6000","2,16",,Black,13.333,40.0,DDR5,6000,2,16,32
Kingston FURY Beast 4 GB,42.91,"4,3200","1,4",10.7275,Black,10.0,16.0,DDR4,3200,1,4,4
