name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
Kingston KTH-PL421/16G 16 GB,34.97,"4,2133","1,16",2.185625,Green,14.065,15.0,DDR4,2133,1,16,16
Kingston KVR16R11D4/16HA 16 GB,34.89,"3,1600","1,16",2.180625,Green,13.75,11.0,DDR3,1600,1,16,16
Kingston ValueRAM 64 GB,139.01,"3,1600","4,16",2.17203125,Green,13.75,11.0,DDR3,1600,4,16,64
Kingston KVR16LR11D4K4/64 64 GB,399.0,"3,1600","4,16",6.234375,Blue,13.75,11.0,DDR3,1600,4,16,64
Kingston KVR16LR11D4/16HA 16 GB,28.99,"3,1600","1,16",1.811875,Green,13.75,11.0,DDR3,1600,1,16,16
Kingston KVR1333D3D4R9SK3/24G 24 GB,124.99,"3,1333","3,8",5.207916666666667,Green,13.503,9.0,DDR3,1333,3,8,24
Kingston KVR13LR9D4K4/64 64 GB,297.75,"3,1333","4,16",4.65234375,Green,13.503,9.0,DDR3,1333,4,16,64
Mushkin Proline 16 GB,43.82,"3,1600","1,16",2.73875,Green,13.75,11.0,DDR3,1600,1,16,16
Kingston Impact 16 GB,147.06,"4,2133","2,8",9.19125,Black / Silver,12.189,13.0,DDR4,2133,2,8,16
G.Skill Ripjaws 8 GB,26.74,"4,2400","1,8",3.3425,Black,13.333,16.0,DDR4,2400,1,8,8
Mushkin Essentials 4 GB,31.99,"4,2133","1,4",7.9975,Black / Green,14.065,15.0,DDR4,2133,1,4,4
Kingston ValueRAM 8 GB,77.53,"4,2133","1,8",9.69125,Black / Green,14.065,15.0,DDR4,2133,1,8,8
Kingston ValueRAM 32 GB,69.92,"4,2133","1,32",2.185,Black / Green,14.065,15.0,DDR4,2133,1,32,32
Kingston KCP421SS8/8 8 GB,27.15,"4,2133","1,8",3.39375,Black / Green,14.065,15.0,DDR4,2133,1,8,8
Kingston ValueRAM 16 GB,135.36,"4,2133","2,8",8.46,Black / Green,14.065,15.0,DDR4,2133,2,8,16
Kingston KTD-PE426/32G 32 GB,151.81,"4,2666","1,32",4.7440625,Green / Black,14.254,19.0,DDR4,2666,1,32,32
Kingston ValueRAM 8 GB,49.99,"4,2400","1,8",6.24875,Green / Black,14.167,17.0,DDR4,2400,1,8,8
Kingston ValueRAM 16 GB,52.99,"4,2666","1,16",3.311875,Green / Black,14.254,19.0,DDR4,2666,1,16,16
Kingston KCP426SS8/8 8 GB,26.5,"4,2666","1,8",3.3125,Green / Black,12.753,17.0,DDR4,2666,1,8,8
Crucial CT2K4G4SFS624A 8 GB,34.95,"4,2400","2,4",4.36875,Green / Black,14.167,17.0,DDR4,2400,2,4,8
Crucial CT32G4LFD4266 32 GB,74.09,"4,2666","1,32",2.3153125,Green / Black,14.254,19.0,DDR4,2666,1,32,32
Crucial CT16G4RFD8293 16 GB,54.97,"4,2933","1,16",3.435625,Green / Black,14.32,21.0,DDR4,2933,1,16,16
Kingston KSM26RS8/8MEI 8 GB,34.15,"4,2666","1,8",4.26875,Green / Black,14.254,19.0,DDR4,2666,1,8,8
Kingston Server Premier 16 GB,100.99,"4,3200","1,16",6.311875,Unknown,13.75,22.0,DDR4,3200,1,16,16
Kingston Server Premier 32 GB,173.19,"4,2666","1,32",5.4121875,Unknown,14.254,19.0,DDR4,2666,1,32,32
Kingston Server Premier 8 GB,53.99,"4,2666","1,8",6.74875,Unknown,14.254,19.0,DDR4,2666,1,8,8
Mushkin Redline 32 GB,128.38,"4,3200","2,16",4.011875,Unknown,13.75,22.0,DDR4,3200,2,16,32
Mushkin Silverline 8 GB,82.47,"4,2666","2,4",10.30875,Silver,14.254,19.0,DDR4,2666,2,4,8
Silicon Power SP016GBSFU213B02 16 GB,44.11,"4,2133","1,16",2.756875,Unknown,14.065,15.0,DDR4,2133,1,16,16
TEAMGROUP Elite 8 GB,70.32,"4,2400","1,8",8.79,Black,13.333,16.0,DDR4,2400,1,8,8
TEAMGROUP T-Create Classic 16 GB,42.99,"5,5600","1,16",2.686875,Black,16.429,46.0,DDR5,5600,1,16,16
TEAMGROUP T-Create Classic 16 GB,56.05,"5,5600","1,16",3.503125,Black,16.429,46.0,DDR5,5600,1,16,16
V-Color TRA516G70S834Q 64 GB,743.99,"5,7000","4,16",11.62484375,White,9.714,34.0,DDR5,7000,4,16,64
V-Color TRA524G56S836Q 96 GB,623.99,"5,5600","4,24",6.499895833333333,White,12.857,36.0,DDR5,5600,4,24,96
V-Color TRA524G76S838R3Q 96 GB,1151.99,"5,7600","4,24",11.999895833333333,White,10.0,38.0,DDR5,7600,4,24,96
Crucial CT2CP25672AF667 4 GB,23.99,"2,667","2,2",5.9975,Green,14.993,5.0,DDR2,667,2,2,4
Crucial CT2KIT25664AA667 4 GB,48.99,"2,667","2,2",12.2475,Green,14.993,5.0,DDR2,667,2,2,4
Kingston ValueRAM 2 GB,32.39,"2,533","1,2",16.195,Green,15.009,4.0,DDR2,533,1,2,2
Patriot Sector 5 4 GB,53.73,"3,1600","2,2",13.4325,Black / Red,11.25,9.0,DDR3,1600,2,2,4
Patriot Viper II Sector 5 4 GB,59.9,"3,1600","2,2",14.975,Black / Red,10.0,8.0,DDR3,1600,2,2,4
OCZ OCZ2V6672G 2 GB,35.96,"2,667","1,2",17.98,Green,14.993,5.0,DDR2,667,1,2,2
G.Skill Ripjaws 16 GB,179.95,"3,1600","4,4",11.246875,Black / Red,11.25,9.0,DDR3,1600,4,4,16
Patriot Gamer 4 GB,58.31,"3,1600","2,2",14.5775,Black / Green,11.25,9.0,DDR3,1600,2,2,4
Patriot Viper II Sector 7 Edition 6 GB,59.0,"3,1600","3,2",9.833333333333334,Black / Blue,11.25,9.0,DDR3,1600,3,2,6
Patriot Viper Xtreme 4 GB,62.82,"3,1600","2,2",15.705,Black / Silver,10.0,8.0,DDR3,1600,2,2,4
Patriot Viper Xtreme 8 GB,92.87,"3,1600","2,4",11.60875,Black / Silver,10.0,8.0,DDR3,1600,2,4,8
Patriot Viper Xtreme 12 GB,127.06,"3,1600","3,4",10.588333333333333,Black / Silver,10.0,8.0,DDR3,1600,3,4,12
Patriot Viper Xtreme 6 GB,83.13,"3,1600","3,2",13.854999999999999,Black / Silver,10.0,8.0,DDR3,1600,3,2,6
G.Skill Ripjaws 4 GB,59.95,"3,1333","2,2",14.9875,Black / Red,13.503,9.0,DDR3,1333,2,2,4
Patriot Viper II Sector 5 4 GB,55.49,"3,1333","2,2",13.8725,Black / Red,10.503,7.0,DDR3,1333,2,2,4
"Patriot Viper Xtreme Series, Division 2 4 GB",57.69,"3,1866","2,2",14.4225,Black / Silver,9.646,9.0,DDR3,1866,2,2,4
"Patriot Viper Xtreme Series, Division 2 8 GB",72.41,"3,1600","2,4",9.05125,Black / Silver,10.0,8.0,DDR3,1600,2,4,8
Patriot Extreme Performance Gaming 6 GB,71.7,"3,1333","3,2",11.950000000000001,Black / Green,13.503,9.0,DDR3,1333,3,2,6
Patriot Viper Xtreme 8 GB,105.0,"3,1866","2,4",13.125,Black / Silver,9.646,9.0,DDR3,1866,2,4,8
ADATA AD2S800B2G5-R 2 GB,16.45,"2,800","1,2",8.225,Green,12.5,5.0,DDR2,800,1,2,2
ADATA AD3S1333B2G9-R 2 GB,35.36,"3,1333","1,2",17.68,Green,13.503,9.0,DDR3,1333,1,2,2
Corsair CMSO4GX3M1A1333C9 4 GB,22.99,"3,1333","1,4",5.7475,Green,13.503,9.0,DDR3,1333,1,4,4
Corsair VS1GSDS533D2 1 GB,19.98,"2,533","1,1",19.98,Green,15.009,4.0,DDR2,533,1,1,1
Crucial CT51264AC667 4 GB,79.48,"2,667","1,4",19.87,Green,14.993,5.0,DDR2,667,1,4,4
Crucial CT2KIT12864AC800 2 GB,38.99,"2,800","2,1",19.495,Green,15.0,6.0,DDR2,800,2,1,2
Crucial CT51264AC800 4 GB,64.89,"2,800","1,4",16.2225,Green,15.0,6.0,DDR2,800,1,4,4
Crucial CT25664AC667 2 GB,19.94,"2,667","1,2",9.97,Green,14.993,5.0,DDR2,667,1,2,2
Crucial CT2KIT25664AC800 4 GB,37.28,"2,800","2,2",9.32,Green,15.0,6.0,DDR2,800,2,2,4
Crucial CT2KIT25664AC667 4 GB,34.99,"2,667","2,2",8.7475,Green,14.993,5.0,DDR2,667,2,2,4
Crucial CT51264BC1067 4 GB,19.95,"3,1066","1,4",4.9875,Green,13.133,7.0,DDR3,1066,1,4,4
Crucial CT25664AC800 2 GB,18.98,"2,800","1,2",9.49,Green,15.0,6.0,DDR2,800,1,2,2
G.Skill F3-10666CL9D-8GBSQ 8 GB,25.84,"3,1333","2,4",3.23,Green,13.503,9.0,DDR3,1333,2,4,8
G.Skill F3-10600CL9D-8GBSQ 8 GB,99.0,"3,1333","2,4",12.375,Green,13.503,9.0,DDR3,1333,2,4,8
G.Skill F3-10666CL9S-4GBSQ 4 GB,15.12,"3,1333","1,4",3.78,Green,13.503,9.0,DDR3,1333,1,4,4
GeIL GS34GB1066C7SC 4 GB,15.22,"3,1066","1,4",3.805,Green,13.133,7.0,DDR3,1066,1,4,4
Kingston KVR1333D3S9/4G 4 GB,24.98,"3,1333","1,4",6.245,Green,13.503,9.0,DDR3,1333,1,4,4
Kingston KVR667D2SO/2GR 2 GB,22.4,"2,667","1,2",11.2,Green,14.993,5.0,DDR2,667,1,2,2
Kingston KVR667D2S5/1G 1 GB,52.44,"2,667","1,1",52.44,Green,14.993,5.0,DDR2,667,1,1,1
Kingston ValueRAM 2 GB,24.99,"2,667","2,1",12.495,Green,14.993,5.0,DDR2,667,2,1,2
Kingston KVR667D2S5/2G 2 GB,40.56,"2,667","1,2",20.28,Green,14.993,5.0,DDR2,667,1,2,2
Kingston ValueRAM 2 GB,40.99,"3,1333","1,2",20.495,Green,13.503,9.0,DDR3,1333,1,2,2
Kingston KVR800D2S5/1G 1 GB,35.08,"2,800","1,1",35.08,Green,12.5,5.0,DDR2,800,1,1,1
Kingston KVR800D2S6K2/4G 4 GB,64.99,"2,800","2,2",16.2475,Green,15.0,6.0,DDR2,800,2,2,4
